school,district,ncesid,title_1_school_status,lat,long,total_enroll,bipoc_enroll,bipoc_pct,white_enroll
112 ALC MIDDLE SCHOOL,EASTERN CARVER COUNTY PUBLIC SCHOOL,2708190,2-Title I targeted assistance school,44.8416,-93.5969,404,171,0.42326732673267325,233
6-12TH GRADE BUILDING,CLINTON-GRACEVILLE-BEARDSLEY,2700150,2-Title I targeted assistance school,45.5692,-96.4332,131,4,0.030534351145038167,127
916 MAHTOMEDI ACADEMY,NORTHEAST METRO 916,2702264,6-Not a Title I school,45.036838,-92.985475,82,42,0.5121951219512195,40
917 INTRA-DAKOTA EDUCATIONAL ALT,INTERMEDIATE SCHOOL DISTRICT 917,2700026,6-Not a Title I school,44.741403,-93.11454,46,29,0.6304347826086957,17
917 SUN,INTERMEDIATE SCHOOL DISTRICT 917,2700026,6-Not a Title I school,44.741403,-93.11454,140,66,0.4714285714285714,74
A. G. A. P. E. TEEN PARENT,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.95616,-93.143664,67,65,0.9701492537313433,2
A.C.G.C. ELEMENTARY,A.C.G.C. Public School District,2700106,5-Title I schoolwide school,45.1331,-94.7796,332,30,0.09036144578313253,302
A.C.G.C. SECONDARY,A.C.G.C. Public School District,2700106,5-Title I schoolwide school,45.1422,-94.6836,401,47,0.1172069825436409,354
A.I. JEDLICKA MIDDLE SCHOOL,PROCTOR PUBLIC SCHOOL DISTRICT,2730090,6-Not a Title I school,46.7438,-92.237,456,48,0.10526315789473684,408
ACADEMIA CESAR CHAVEZ CHTR SCHOOL,ACADEMIA CESAR CHAVEZ CHARTER SCH.,2700185,5-Title I schoolwide school,44.97165,-93.024021,568,547,0.9630281690140845,21
ACADEMIC ARTS HIGH SCHOOL,ACADEMIC ARTS HIGH SCHOOL,2700361,5-Title I schoolwide school,44.8904,-93.0824,90,40,0.4444444444444444,50
ACGC ELEMENTARY GRADES 5 AND 6,A.C.G.C. Public School District,2700106,5-Title I schoolwide school,45.1429,-94.6836,132,15,0.11363636363636363,117
ACHIEVE LANGUAGE ACADEMY,ACHIEVE LANGUAGE ACADEMY,2700118,5-Title I schoolwide school,44.9697,-93.0091,462,418,0.9047619047619048,44
ADA ELEMENTARY,ADA-BORUP PUBLIC SCHOOL DISTRICT,2700126,2-Title I targeted assistance school,47.2973,-96.5271,274,51,0.18613138686131386,223
ADA-BORUP SECONDARY,ADA-BORUP PUBLIC SCHOOL DISTRICT,2700126,2-Title I targeted assistance school,47.2976,-96.5312,399,89,0.22305764411027568,310
ADAMS ELEMENTARY,ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,2703180,5-Title I schoolwide school,45.1335,-93.2909,521,290,0.5566218809980806,231
ADAMS ELEMENTARY,FERGUS FALLS PUBLIC SCHOOL DISTRICT,2711880,2-Title I targeted assistance school,46.2747,-96.0782,296,52,0.17567567567567569,244
ADAMS MAGNET ELEMENTARY,ST. PAUL PUBLIC SCHOOL DISTRICT,2733840,5-Title I schoolwide school,44.923737,-93.142043,544,378,0.6948529411764706,166
ADRIAN ELEMENTARY,ADRIAN PUBLIC SCHOOL DISTRICT,2702730,5-Title I schoolwide school,43.6314,-95.9314,262,46,0.17557251908396945,216
